t,int-E,int-enst
0.0,62.01255335186784,185.86403991281045
0.2794287486539875,61.94810564056491,187.52738991724812
0.5568667796639621,61.88405440901699,192.18525399505302
0.8347898628212103,61.81824788950795,200.08572765476438
1.1080643717614629,61.75052988445635,211.47747088686376
1.3835458309088455,61.67763052241848,227.1848735866024
1.6589072804607965,61.59837577596153,247.81990589771507
1.9341463576365319,61.51075095541892,274.173781793369
2.208055538976482,61.413092871819686,306.9708574023309
2.4818081134758687,61.30276988923245,347.28166333343626
2.755664437149562,61.17699517061789,396.2247906067908
3.027169497283981,61.033937109867814,454.54517077024116
3.3002963582448674,60.86761589650328,525.4500632047224
3.5739455978430317,60.672732686185,614.4587897283219
3.846730169613762,60.44031193211277,732.3899757517634
4.115472839287919,60.15694556913602,886.8221338574656
4.389111791680723,59.79092631996473,1084.2725753200664
4.662183240604394,59.33540014306078,1307.8617674388017
4.934593424507197,58.793589682264205,1530.6224957132104
5.20107729022981,58.19461939066353,1727.5393560140765
5.471599962518811,57.526329243364636,1889.7663205985657
5.741557183119869,56.8055914011656,2027.3064432753633
6.003382717695,56.053947690515585,2162.048669099123
6.267455117700414,55.238008725613376,2310.9810274567503
6.533731539007871,54.35542854420389,2495.8548530731205
6.797449156265239,53.41400563204257,2681.9807078104673
7.057004959774885,52.42019732603685,2855.9839909902807
7.319629817836473,51.33116636653293,3029.1004752714252
7.582308468620389,50.152055986449376,3318.9701063372518
7.844479614197034,48.85087889766597,3602.977663788038
8.089682415312236,47.52389280301933,3848.047963777966
8.35040035477521,46.00978821497366,3966.754818643618
8.61143499478311,44.450847807799185,4087.6780292294525
8.871964194035248,42.8654588529884,4112.853656165258
9.129499019532897,41.32325053669542,4052.469136215454
9.390129045474854,39.796833479645755,4000.2999108640915
9.650749878739747,38.28359722686163,4040.0620024737577
9.910613627972477,36.76532226875487,4066.2427310871685
10.16398304289148,35.27178971303242,4099.461319294234
10.42482206513512,33.71413710483229,4109.899934338747
10.68626598998505,32.162278000371984,4044.9576147561206
10.947160149203372,30.660779603940085,3908.4035495181997
11.206530845342208,29.231281373459858,3737.9160270393745
11.468170988295373,27.86391136735532,3548.222965442129
11.731662786866258,26.56934524700928,3341.409966620614
11.995963580612665,25.359706915462116,3114.4832274547844
12.25849896129481,24.24924534739441,2898.3608753769718
12.5240523343747,23.21086825187318,2698.9021959717866
12.789846474002033,22.247634325431807,2516.191230239392
13.054378728801547,21.357938074446054,2355.142871534497
13.322440734253538,20.517270862198,2214.860704842799
13.592435194104715,19.72363116870816,2090.5213119357327
13.861925685860404,18.977399129866637,1981.450787166397
14.126224960958004,18.28523246405726,1887.8723149052678
14.398348933700955,17.608173351131764,1800.367876161867
14.669999340121548,16.964989972660067,1720.7859519145982
14.942684995948504,16.349753622025716,1644.5884341554397
15.215443549820225,15.763368913343061,1569.8776829886635
15.488912260455301,15.203971193199434,1498.2988512262896
15.762956468512607,14.670515753860423,1430.5575531427733
16.03363093973088,14.16868819716712,1367.245703277567
16.30843432822027,13.683406648973358,1306.555377008452
16.584011733998267,13.219709696661333,1248.04087184957
16.860020524572963,12.777110535762603,1192.3891626440752
17.13599996587992,12.35510950543043,1140.1155572532382
17.411724426974736,11.952797593052981,1090.2895795674076
17.687838765366422,11.568255982012419,1042.9902492958913
17.964322244357493,11.200596351004634,998.4798493779219
18.237613530878782,10.85313488904869,956.7605919353484
18.514509693963326,10.51647085197411,916.3331795811699
18.79174549554144,10.194172172153824,878.2797499834707
19.068518511920985,9.886185247314888,841.939745510085
19.346180853812427,9.590384075020935,806.9698347591186
19.624122907813835,9.30688137065784,773.7306401439042
19.9020133106071,9.035395506383896,741.8042046568883
