# NASA TMR / Schmitt-Charpin ONERA M6 experimental Cp
# Source: TMBWG/turbmodels Onerawingnumerics_val/case_2308.dat
# Section 1, eta = 0.2; Mach 0.8395, AoA 3.06 deg, Re 11.72e6
x_over_c,cp
0.000340,0.801470
0.002160,0.443570
0.005930,0.548830
0.008660,-0.167630
0.020020,-0.034333
0.020370,-0.706930
0.035250,-1.069200
0.049930,-0.046360
0.060360,-0.628980
0.099590,-0.465000
0.150370,-0.441880
0.165940,-0.092250
0.200440,-0.455350
0.250390,-0.459110
0.265790,-0.164350
0.300500,-0.461910
0.350500,-0.480500
0.365800,-0.215350
0.400470,-0.504710
0.450300,-0.546650
0.465990,-0.263430
0.500390,-0.575950
0.550250,-0.580260
0.565880,-0.229150
0.600290,-0.397500
0.650320,-0.306550
0.665930,-0.170520
0.710260,-0.238410
0.780260,-0.159880
0.815970,-0.078519
0.850210,-0.058194
0.920270,0.059474
0.950300,0.101410
0.985180,0.175530
