# NASA TMR / Schmitt-Charpin ONERA M6 experimental Cp
# Source: TMBWG/turbmodels Onerawingnumerics_val/case_2308.dat
# Section 4, eta = 0.8; Mach 0.8395, AoA 3.06 deg, Re 11.72e6
x_over_c,cp
0.000000,0.752420
0.002100,0.303520
0.006110,0.580440
0.008930,-0.323760
0.019990,0.024903
0.020120,-0.976060
0.035300,-1.205800
0.050170,-0.027097
0.060110,-1.161400
0.100190,-1.058000
0.150240,-0.996350
0.172420,-0.143060
0.200160,-0.954480
0.250210,-0.617980
0.272300,-0.230050
0.300210,-0.628300
0.350150,-0.677050
0.372350,-0.283140
0.399770,-0.303310
0.450090,-0.245100
0.472200,-0.285390
0.500200,-0.244070
0.550330,-0.222270
0.572300,-0.205190
0.600180,-0.181330
0.650150,-0.139010
0.672160,-0.130840
0.709770,-0.096623
0.780120,-0.031278
0.822230,-0.005358
0.850100,0.042526
0.920050,0.131930
0.949870,0.162060
0.984980,0.224580
