# NASA TMR / Schmitt-Charpin ONERA M6 experimental Cp
# Source: TMBWG/turbmodels Onerawingnumerics_val/case_2308.dat
# Section 7, eta = 0.99; Mach 0.8395, AoA 3.06 deg, Re 11.72e6
x_over_c,cp
0.000500,0.636240
0.001930,0.209980
0.005780,0.315010
0.006300,-0.254360
0.012650,-0.651160
0.019850,-0.227350
0.020120,-1.017900
0.029990,-1.243900
0.040250,-0.335920
0.049950,-1.291300
0.065360,-0.375570
0.074820,-1.274900
0.099900,-1.209300
0.100390,-0.342310
0.139760,-0.918210
0.149960,-0.317710
0.179910,-0.784780
0.219900,-0.244620
0.249760,-0.274110
0.259760,-0.206960
0.299860,-0.219020
0.339790,-0.234330
0.349730,-0.229730
0.379760,-0.246420
0.419880,-0.271530
0.449700,-0.217320
0.459700,-0.245450
0.499870,-0.233490
0.539750,-0.213330
0.549670,-0.164900
0.579850,-0.191880
0.619760,-0.182000
0.649570,-0.118300
0.659660,-0.176180
0.699790,-0.174830
0.739800,-0.181620
0.750020,-0.071765
0.779420,-0.195000
0.819850,-0.217540
0.849580,-0.009153
0.859430,-0.238250
0.899610,-0.255740
0.949460,0.069539
0.949590,-0.280410
0.984550,-0.218220
