# NASA TMR / Schmitt-Charpin ONERA M6 experimental Cp
# Source: TMBWG/turbmodels Onerawingnumerics_val/case_2308.dat
# Section 6, eta = 0.95; Mach 0.8395, AoA 3.06 deg, Re 11.72e6
x_over_c,cp
0.000680,0.690420
0.001900,0.229430
0.005670,0.509530
0.006230,-0.152130
0.012090,-0.598010
0.019830,-0.982620
0.019850,-0.074273
0.029910,-1.196200
0.039990,-0.157760
0.049720,-1.227100
0.065210,-0.170400
0.074880,-1.177100
0.099910,-1.133500
0.100190,-0.240530
0.139830,-1.126700
0.150160,-0.292530
0.179990,-1.136000
0.220100,-0.558840
0.249970,-0.300640
0.259960,-0.282020
0.299940,-0.159400
0.340080,-0.179170
0.349900,-0.254460
0.379940,-0.218090
0.419880,-0.237800
0.449980,-0.239700
0.459760,-0.241560
0.499940,-0.216220
0.539880,-0.196540
0.549550,-0.173420
0.579910,-0.151940
0.619700,-0.125530
0.649800,-0.120610
0.659790,-0.103960
0.699760,-0.073727
0.739700,-0.055590
0.749630,-0.055879
0.779620,-0.027226
0.819650,0.009500
0.849340,0.020755
0.859800,0.040082
0.899770,0.071662
0.948610,0.121860
0.949530,0.126490
0.984620,0.178110
