# NASA TMR / Schmitt-Charpin ONERA M6 experimental Cp
# Source: TMBWG/turbmodels Onerawingnumerics_val/case_2308.dat
# Section 3, eta = 0.65; Mach 0.8395, AoA 3.06 deg, Re 11.72e6
x_over_c,cp
0.000420,0.752490
0.002220,0.325490
0.005910,0.589730
0.009140,-0.324270
0.020100,0.026061
0.020360,-0.918080
0.035080,-1.181400
0.050160,-0.009474
0.060220,-1.139800
0.100290,-1.031500
0.150320,-0.941040
0.170100,-0.121390
0.200290,-0.543950
0.250240,-0.593860
0.270100,-0.195580
0.300080,-0.632260
0.350240,-0.663550
0.370090,-0.269930
0.400370,-0.692070
0.450100,-0.724740
0.470370,-0.279480
0.500240,-0.301470
0.550420,-0.236260
0.570330,-0.213100
0.600710,-0.204680
0.650260,-0.163840
0.670080,-0.142770
0.710340,-0.121160
0.780080,-0.052245
0.819860,-0.015874
0.850010,0.031914
0.920120,0.123050
0.949990,0.157270
0.986110,0.226760
