# NASA TMR / Schmitt-Charpin ONERA M6 experimental Cp
# Source: TMBWG/turbmodels Onerawingnumerics_val/case_2308.dat
# Section 2, eta = 0.44; Mach 0.8395, AoA 3.06 deg, Re 11.72e6
x_over_c,cp
0.000310,0.780530
0.001080,0.387810
0.005200,0.564590
0.007890,-0.256030
0.019060,-0.841670
0.019220,-0.006805
0.034020,-1.127500
0.049090,-0.044656
0.059110,-1.092200
0.099130,-0.888850
0.149270,-0.487570
0.166990,-0.130230
0.199090,-0.538380
0.250800,-0.561350
0.267050,-0.180590
0.299250,-0.558710
0.349270,-0.579900
0.367050,-0.232850
0.399310,-0.614410
0.448970,-0.647050
0.467060,-0.268610
0.499270,-0.701070
0.549270,-0.374180
0.567050,-0.227890
0.599310,-0.262690
0.649170,-0.213000
0.666980,-0.151390
0.708970,-0.150870
0.779120,-0.080609
0.817050,-0.035908
0.849030,0.009821
0.919290,0.108930
0.949370,0.142990
0.983870,0.211450
